shapeid,y,x
69,-71.0843121,42.3625049
69,-71.0842852,42.3625106
69,-71.084253,42.3625512
69,-71.084191,42.3626403
69,-71.0841568,42.3626801
70,-71.092134,42.368116
70,-71.091939,42.368457
70,-71.091772,42.36875
71,-71.0962494,42.3648547
71,-71.0956283,42.364722
71,-71.0951636,42.3646227
71,-71.0950103,42.3645899
71,-71.0945604,42.3644938
71,-71.0943811,42.3644148
71,-71.0940285,42.3642595
71,-71.0936365,42.3640868
71,-71.0931657,42.3638794
72,-71.096535,42.369335
72,-71.096865,42.36944
72,-71.09689,42.369456
72,-71.096897,42.369486
72,-71.096694,42.36984
73,-71.0987393,42.3672777
73,-71.0985629,42.3675782
73,-71.098381,42.36789
73,-71.098185,42.368201
74,-71.087917,42.373499
74,-71.087911,42.373517
74,-71.087835,42.373632
74,-71.0876727,42.3737494
74,-71.087647,42.373768
75,-71.096875,42.370475
75,-71.096461,42.371159
75,-71.096169,42.371656
75,-71.095865,42.37214
75,-71.095596,42.372593
75,-71.095322,42.373015
75,-71.095137,42.373426
75,-71.094955,42.373842
75,-71.094741,42.374268
76,-71.080298,42.3689544
76,-71.0797119,42.3688772
76,-71.0790855,42.3687946
76,-71.0782397,42.3686831
76,-71.0774066,42.3685733
77,-71.0801488,42.3696341
77,-71.080083,42.369625
77,-71.0795336,42.3695578
77,-71.078913,42.369482
77,-71.0772448,42.3692641
78,-71.0857173,42.3619673
78,-71.0857502,42.3617029
79,-71.0860365,42.361997
79,-71.086071,42.3617296
79,-71.0859459,42.3617192
79,-71.0857502,42.3617029
79,-71.0856554,42.361695
79,-71.0855215,42.3616819
79,-71.0854661,42.3616775
79,-71.0854752,42.3616085
79,-71.0855698,42.3608931
79,-71.0856073,42.3608653
79,-71.0857146,42.3608455
79,-71.085771,42.3608495
80,-71.0861813,42.3610615
80,-71.0857522,42.3610298
81,-71.085771,42.3608495
81,-71.0857522,42.3610298
81,-71.0856554,42.361695
82,-71.091939,42.368457
82,-71.091642,42.368334
82,-71.0907622,42.3680388
83,-71.0854359,42.3619014
83,-71.0854661,42.3616775
84,-71.0881972,42.3609441
84,-71.0882806,42.3609144
84,-71.0886081,42.3607981
84,-71.0891682,42.3606209
85,-71.0859459,42.3617192
85,-71.0859104,42.3619831
86,-71.0882671,42.3608926
86,-71.0881849,42.3609241
86,-71.0881221,42.3609471
87,-71.0864203,42.3615227
87,-71.0866659,42.3614417
87,-71.0867076,42.3614274
88,-71.0863836,42.3615349
88,-71.0864203,42.3615227
89,-71.085273,42.3615745
89,-71.0853633,42.3615848
89,-71.0854752,42.3616085
90,-71.0896115,42.3610605
90,-71.0896557,42.3611292
90,-71.0897155,42.361241
90,-71.0897555,42.3613809
91,-71.085532,42.371743
91,-71.0856952,42.3710395
